Gender,Age,Marital Status,Job Level,Years of Experience,Department,Employee Type,Work-Life Balance,Work Environment,Physical Activity Hours,Workload,Stress Level,Sleep Hours,Commute Mode,Commute Distance (km),Number of Companies Worked,Team Size,Direct Reports,Education Level,Overtime Status,Training Hours Per Year,Job Satisfaction,Low Sleep Flag,Long Commute Flag,Burnout Flag,Sleep Category,Burnout Score
Male,32,Married,Mid,7,It,Full-Time,1,1,2.5,2,1,7.6,Car,20,3,12,0,Bachelor,Yes,33.5,5,0,1,0,Healthy,0.16000000000000014
Female,34,Married,Mid,12,Finance,Full-Time,1,1,1.8,2,2,7.9,Car,15,4,11,0,Bachelor,No,36.0,5,0,0,0,Healthy,-0.11000000000000021
Female,23,Single,Intern/Fresher,1,Marketing,Full-Time,2,4,2.1,5,4,6.5,Motorbike,17,0,30,0,Bachelor,Yes,10.5,5,0,0,0,Moderate,1.41
Female,29,Married,Junior,6,It,Contract,2,2,1.9,3,1,7.5,Public Transport,13,2,9,0,Bachelor,Yes,23.0,5,0,0,0,Healthy,0.2899999999999999
Other,23,Single,Junior,1,Sales,Part-Time,3,1,3.7,2,1,4.9,Car,20,0,7,0,Bachelor,No,20.5,5,1,1,0,Low,1.2399999999999998
Female,33,Married,Mid,10,Operations,Part-Time,2,3,1.4,4,2,6.2,Car,8,3,13,0,Bachelor,No,35.0,5,0,0,0,Moderate,0.9599999999999999
Female,26,Single,Junior,4,Sales,Full-Time,2,2,1.8,1,1,5.8,Car,29,1,8,0,Bachelor,Yes,22.0,5,0,1,0,Moderate,0.8500000000000001
Male,24,Single,Junior,2,It,Full-Time,1,3,1.8,4,2,5.7,Car,29,0,10,0,Bachelor,Yes,21.0,5,0,1,0,Moderate,1.79
Female,29,Married,Junior,7,Marketing,Full-Time,4,3,1.6,1,1,8.2,Car,13,2,8,0,Bachelor,No,23.5,5,0,0,0,Healthy,-0.5899999999999997
Female,24,Single,Mid,2,Marketing,Part-Time,5,5,0.5,4,2,8.5,Bike,9,0,10,0,Bachelor,No,31.0,5,0,0,0,Healthy,0.06999999999999984
Male,40,Single,Mid,14,Customer Service,Full-Time,5,5,0.8,2,1,6.3,Car,8,6,11,0,Bachelor,No,37.0,5,0,0,0,Moderate,0.32000000000000006
Male,30,Single,Senior,8,Legal,Full-Time,5,5,2.5,2,1,6.3,Public Transport,19,2,18,2,Bachelor,No,44.0,5,0,0,0,Moderate,0.65
Female,29,Single,Junior,7,Legal,Full-Time,5,3,2.1,1,1,6.2,Public Transport,20,2,7,0,Bachelor,No,23.5,5,0,1,0,Moderate,0.4199999999999999
